Ransomware Family,WithVirus Hidden,NoVirus Hidden,Differential,Suspicious Names
Locky.AZ,0,0,+0,
W32.MyDoom.A.,70,57,+13,"sppsvc.exe, SearchIndexer., System, svchost.exe, lsass.exe"
Win32.BlackWorm,1,2,+-1,svchost.exe
DLLHijacking,1,0,+1,svchost.exe
WannaCry,2,4,+-2,"hs�����, '�""2, taskdl.exe"
GoldenEye,2,13,+-11,dllhost.exe
LuckyLcoker,21,22,+-1,"SrTasks.exe, dllhost.exe, conhost.exe, 3_moving_block, VSSVC.exe"
InfinityCrypt,1,0,+1,RuntimeBroker.
DeriaLock,2,5,+-3,"msoobe.exe, HxTsr.exe"
RedTail,1,0,+1,svchost.exe
Dharma,18,2,+16,"chrome.exe, WmiPrvSE.exe, iexplore.exe, VSSVC.exe, GoogleUpdate.e"
PowerLoader,5,2,+3,"SearchFilterHo, conhost.exe, dllhost.exe, bin2hex.exe, SearchProtocol"
SporaRansomware,1,2,+-1,VSSVC.exe
Cerber,15,0,+15,"chrome.exe, SearchFilterHo, VSSVC.exe, msiexec.exe, audiodg.exe"
GandCrab,1,3,+-2,msedge.exe
